lane,arm,config_id,initial_roughness_view1,initial_roughness_view2,target_roughness,corrected_roughness_view1,corrected_roughness_view2,log_gap_before,log_gap_after,response_plan_json,representation_sha256,parameter_changed
A1_K10,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.0365328183617493,1.0810241068671052,0.255166369286122,0.04202752386644144,"[{""beta"": 0.35, ""corrected_roughness"": 1.0365328183617493, ""distortion"": 0.1633104799607332, ""gamma"": 0.1, ""initial_roughness"": 1.2011590946297739, ""objective"": 0.02390526473554782, ""response_type"": ""lowpass""}, {""beta"": 0.15, ""corrected_roughness"": 1.0810241068671052, ""distortion"": 0.15558778981611687, ""gamma"": 0.35, ""initial_roughness"": 0.9306431556282171, ""objective"": 0.026094715875314888, ""response_type"": ""sharpen""}]",76b4e12ea86ac2f2674538491d30bf8d52542bff6fa12dff635989c62d476d75,True
A1_K10,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.0365328183617493,0.9306431556282171,0.255166369286122,0.10776068173080687,"[{""beta"": 0.35, ""corrected_roughness"": 1.0365328183617493, ""distortion"": 0.1633104799607332, ""gamma"": 0.1, ""initial_roughness"": 1.2011590946297739, ""objective"": 0.02390526473554782, ""response_type"": ""lowpass""}, {""beta"": 0.0, ""corrected_roughness"": 0.9306431556282171, ""distortion"": 5.50868542866474e-08, ""gamma"": 0.0, ""initial_roughness"": 0.9306431556282171, ""objective"": 0.12758318584450773, ""response_type"": ""identity""}]",a9ab74cadd2f521e110d123c80dc235ee0ae78eb2392510774acba5f33823c53,True
A1_K10,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.2011590946297739,0.9306431556282171,0.255166369286122,0.2551663694566474,"[{""beta"": 0.0, ""gamma"": 0.0, ""response_type"": ""identity""}, {""beta"": 0.0, ""gamma"": 0.0, ""response_type"": ""identity""}]",4ac73562ca86437aea4b7e48b12d4a48650168bbfab907185516ee9e5af9ca3f,True
A1_K10,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.2735856788018753,1.0175381770795806,0.255166369286122,0.22445013328335822,"{""beta"": 0.1, ""corrected_roughness"": [1.2735856788018753, 1.0175381770795806], ""distortion"": [0.0840502440529632, 0.08227186425166085], ""gamma"": 0.2, ""kind"": ""shared_rational_response"", ""objective"": 0.22860818599097396}",461f56ef45f97db1bc97b4e2db68d62b1b75c1ffee6d39e2f3307129ae231eec,True
A1_K10,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.2011590946297739,1.0810241068671052,0.255166369286122,0.10537816385939908,"[{""beta"": 0.0, ""corrected_roughness"": 1.2011590946297739, ""distortion"": 8.520637845004954e-08, ""gamma"": 0.0, ""initial_roughness"": 1.2011590946297739, ""objective"": 0.1275831871194706, ""response_type"": ""identity""}, {""beta"": 0.15, ""corrected_roughness"": 1.0810241068671052, ""distortion"": 0.15558778981611687, ""gamma"": 0.35, ""initial_roughness"": 0.9306431556282171, ""objective"": 0.026094715875314888, ""response_type"": ""sharpen""}]",b7d5ab6d841aeb6f3d6ad1e0017e61ce520e176b06ee852f375567f516bb9f55,True
A1_K10,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,1.2011590942138726,0.9306431554646802,1.0572844885149386,1.3248940127574032,0.7431012070451832,0.255166369286122,0.5782554953495641,"[{""beta"": 0.15, ""gamma"": 0.35}, {""beta"": 0.35, ""gamma"": 0.1}]",d7e28bf534af0cf85d4fbd3e22bed414a02a58dc579c0fe8989f44f2fb19f71e,True
P22_K9,FULL_RESPONSE_CALIBRATION,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2061165136582175,1.2014045312993193,0.038779107238284635,0.003914390186003729,"[{""beta"": 0.0, ""corrected_roughness"": 1.2061165136582175, ""distortion"": 6.821007787739707e-08, ""gamma"": 0.0, ""initial_roughness"": 1.2061165136582175, ""objective"": 0.019389555708693173, ""response_type"": ""identity""}, {""beta"": 0.1, ""corrected_roughness"": 1.2014045312993193, ""distortion"": 0.0447861574877108, ""gamma"": 0.15, ""initial_roughness"": 1.160239672119661, ""objective"": 0.01659481775463039, ""response_type"": ""sharpen""}]",0cf2f80c93d9951ccf99424968014dbe93f56b41acf0d043c27b17e41bc2a5ce,True
P22_K9,LOWPASS_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2061165136582175,1.160239672119661,0.038779107238284635,0.038779107622463525,"[{""beta"": 0.0, ""corrected_roughness"": 1.2061165136582175, ""distortion"": 6.821007787739707e-08, ""gamma"": 0.0, ""initial_roughness"": 1.2061165136582175, ""objective"": 0.019389555708693173, ""response_type"": ""identity""}, {""beta"": 0.0, ""corrected_roughness"": 1.160239672119661, ""distortion"": 5.077754364100305e-08, ""gamma"": 0.0, ""initial_roughness"": 1.160239672119661, ""objective"": 0.019389554888460815, ""response_type"": ""identity""}]",c4182943c64102382ff16d87e80fae2a47ea144ea1a904666c4b95526a29ed91,True
P22_K9,MATCHED_BACKBONE,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2061165136582175,1.160239672119661,0.038779107238284635,0.038779107622463525,"[{""beta"": 0.0, ""gamma"": 0.0, ""response_type"": ""identity""}, {""beta"": 0.0, ""gamma"": 0.0, ""response_type"": ""identity""}]",3260630af431c54c51a0ff3372b78236d352e00f974379befa7429297c9e29fc,True
P22_K9,SHARED_SCALE_CONTROL,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2061165136582175,1.160239672119661,0.038779107238284635,0.038779107622463525,"{""beta"": 0.0, ""corrected_roughness"": [1.2061165136582175, 1.160239672119661], ""distortion"": [6.821007787739707e-08, 5.077754364100305e-08], ""gamma"": 0.0, ""kind"": ""shared_rational_response"", ""objective"": 0.038779110597153985}",c4182943c64102382ff16d87e80fae2a47ea144ea1a904666c4b95526a29ed91,True
P22_K9,SHARPEN_ONLY_CALIBRATION,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2061165136582175,1.2014045312993193,0.038779107238284635,0.003914390186003729,"[{""beta"": 0.0, ""corrected_roughness"": 1.2061165136582175, ""distortion"": 6.821007787739707e-08, ""gamma"": 0.0, ""initial_roughness"": 1.2061165136582175, ""objective"": 0.019389555708693173, ""response_type"": ""identity""}, {""beta"": 0.1, ""corrected_roughness"": 1.2014045312993193, ""distortion"": 0.0447861574877108, ""gamma"": 0.15, ""initial_roughness"": 1.160239672119661, ""objective"": 0.01659481775463039, ""response_type"": ""sharpen""}]",0cf2f80c93d9951ccf99424968014dbe93f56b41acf0d043c27b17e41bc2a5ce,True
P22_K9,SWAPPED_RESPONSE_CONTROL,T01_COMMON_NO_GRAPH,1.2061165131947083,1.1602396721195218,1.1829557167565357,1.2448611595363066,1.160239672119661,0.038779107238284635,0.07039740758047185,"[{""beta"": 0.1, ""gamma"": 0.15}, {""beta"": 0.0, ""gamma"": 0.0}]",5d5a30529a71efb09b739a38c23e413ce8f2bf3ca31ab60c8a40fd6eed7f9035,True
