lane,seed,completed_steps,zero_start_boundary,relation_norm,anchor_norm,consistency_norm,variance_norm,relation_anchor_cosine,relation_anchor_norm_ratio,relation_consistency_cosine,relation_variance_cosine,low_anchor_cosine,mid_anchor_cosine,high_anchor_cosine,step_in_rev1_operational_gate,zero_norm_cosine_semantics
P22_K9,0,0,True,0.004206229001283646,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
P22_K9,0,1,False,0.004209709353744984,1.616770987311611e-06,1.571002883338224e-08,0.0,-0.8374670094362995,0.00038405762760636227,0.5240503257974527,,-0.5824021403501103,-0.665961259629632,-0.7719800559538682,False,NULL_NA_NOT_ZERO
P22_K9,0,5,False,0.004448289517313242,8.557803084840998e-06,8.743216284301525e-08,0.0,-0.8229276789391698,0.0019238412993428302,0.5514195116552909,,-0.5915265540214013,-0.6704122762320587,-0.7536710232212962,True,NULL_NA_NOT_ZERO
P22_K9,0,20,False,0.0070405337028205395,4.9297883379040286e-05,4.7390548729708826e-07,0.0,-0.7554242230138357,0.007002009429951431,0.6244790891092022,,-0.6194009221075188,-0.6853530981095889,-0.6879599566721507,True,NULL_NA_NOT_ZERO
P22_K9,0,40,False,0.017399247735738754,0.00031634699553251266,5.23800372320693e-06,0.0,-0.8767528008225641,0.018181647869908953,0.6837015785758322,,-0.7447468153401925,-0.7497608437601948,-0.8419542702932339,True,NULL_NA_NOT_ZERO
P22_K9,1,0,True,0.004171095322817564,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
P22_K9,1,1,False,0.004175070207566023,1.651446609685081e-06,9.907430431610464e-09,0.0,-0.8385643717770853,0.000395549422544403,0.17288036383466715,,-0.5405605144562311,-0.6418220474697116,-0.7897065075111729,False,NULL_NA_NOT_ZERO
P22_K9,1,5,False,0.004415164701640606,8.844275726005435e-06,5.870006347663548e-08,0.0,-0.8259449589668831,0.0020031587321576116,0.32914779208833267,,-0.5419136950362674,-0.6444429585743776,-0.775971596931341,True,NULL_NA_NOT_ZERO
P22_K9,1,20,False,0.007034088019281626,5.4553795052925125e-05,4.506680681970465e-07,0.0,-0.7615471591633315,0.0077556315620993,0.7272076200362757,,-0.5567927083164478,-0.6481153932693421,-0.7160907839064385,True,NULL_NA_NOT_ZERO
P22_K9,1,40,False,0.017520839348435402,0.00036439072573557496,5.208283710089745e-06,0.0,-0.8421306323634629,0.020797561035117578,0.7750947425642944,,-0.6817844736285654,-0.7048310961393012,-0.8193079988319691,True,NULL_NA_NOT_ZERO
MISAR_K7,0,0,True,0.010838373564183712,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
MISAR_K7,0,1,False,0.010837268084287643,2.242719574496732e-06,2.6545876607997343e-08,0.0,-0.7626220440317792,0.0002069451043430703,0.4456257844856986,,-0.5363145247042033,-0.6733368088366228,-0.7068516909868432,False,NULL_NA_NOT_ZERO
MISAR_K7,0,5,False,0.01164567656815052,1.1773131518566515e-05,1.442723061018114e-07,0.0,-0.7334047071800225,0.0010109444006683622,0.4347756948559197,,-0.5282253458789533,-0.6571799654908124,-0.6742006429778428,True,NULL_NA_NOT_ZERO
MISAR_K7,0,20,False,0.019780965521931648,6.755949289072305e-05,5.845039936502872e-07,0.0,-0.6292787464795907,0.0034153789316208128,0.5367755105576644,,-0.4993805753269743,-0.5970984524751347,-0.5748743230598733,True,NULL_NA_NOT_ZERO
MISAR_K7,0,40,False,0.048815954476594925,0.0004292241937946528,6.426762411138043e-06,0.0,-0.7158238055412359,0.008792703090553043,0.5769453559919849,,-0.6018438375946279,-0.6899378205002283,-0.6756595070750047,True,NULL_NA_NOT_ZERO
MISAR_K7,1,0,True,0.010594404302537441,0.0,0.0,0.0,,0.0,,,,,,False,NULL_NA_NOT_ZERO
MISAR_K7,1,1,False,0.010592921636998653,2.2198255464900285e-06,1.4604870202106213e-08,0.0,-0.7861239570954793,0.00020955744057774253,0.373955589980435,,-0.5646622856376602,-0.7039652965722685,-0.7130506631962668,False,NULL_NA_NOT_ZERO
MISAR_K7,1,5,False,0.011308283545076847,1.1727273886208422e-05,8.463644007861149e-08,0.0,-0.7603252408953213,0.0010370516302904331,0.4245948020362422,,-0.5606392623221984,-0.6889035556200509,-0.6843118801620228,True,NULL_NA_NOT_ZERO
