lane,candidate_id,partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,morans_i_macro,gearys_c_macro,neighbor_agreement,n_total,n_eval,k,cluster_sizes_full,cluster_sizes_eval,min_cluster_size_full,min_cluster_size_eval
HUMAN_HIPPOCAMPUS_K7,RAW_EQUAL_UNION,d223e4e10e10c0e4ae3669375d4975ee4b39545e871abb50d0c90582b5e187ce,0.47282406378365505,0.47271859449903286,0.4705432157249941,0.5786276688068189,0.4811430987250942,0.47271859449903286,0.7808170191956901,0.21804031973035393,0.8259739951438173,2500,2500,7,"[291, 429, 165, 313, 184, 828, 290]","[291, 429, 165, 313, 184, 828, 290]",165,165
HUMAN_HIPPOCAMPUS_K7,ARISE_LIKE_INTERSECTION,6ac4535f487a6baa9b38b42bfa20147c0144a30f76223b5081db41c6654811e1,0.00697439254188921,0.027836100063151653,0.020216382134019016,0.45856133473974914,0.01448711833135586,0.027836100063151657,0.3508410082561528,0.6412962362378302,0.9886055918446046,2500,2500,7,"[2476, 4, 3, 4, 4, 3, 6]","[2476, 4, 3, 4, 4, 3, 6]",3,3
HUMAN_HIPPOCAMPUS_K7,SPATIAL_ONLY,6be45218625f083bae0ef448c211247ebf0d86c8837bf0d285db6c0046c535e6,0.2624844552349199,0.40406241600882825,0.4017041552938861,0.3948710046097116,0.42767490218580334,0.4040624160088283,0.9551012763593533,0.044637609439511935,0.9609738600584211,2500,2500,7,"[442, 340, 347, 343, 347, 341, 340]","[442, 340, 347, 343, 347, 341, 340]",340,340
HUMAN_HIPPOCAMPUS_K7,RETAINED_ONLY,156150df37d744cfbfe7da8b67d1f08c6171badedcbe31c99768407e9780e80a,0.007645037497604244,0.035238035325653116,0.028224827180943896,0.4240682729656223,0.02200512568837148,0.03523803532565311,0.08378802059614324,0.9121889370993372,0.8575606449977411,2500,2500,7,"[2283, 81, 44, 40, 28, 10, 14]","[2283, 81, 44, 40, 28, 10, 14]",10,10
HUMAN_HIPPOCAMPUS_K7,VIEW1_ONLY,31b33f010be1646539d97ad564115823e7c8aa86fb7178fde16422a5806b609c,0.0790210321847985,0.11199745958491815,0.10835700826467949,0.25529736512013745,0.11481352206621998,0.11199745958491814,0.130284190536112,0.8703009483865385,0.25695544873573856,2500,2500,7,"[608, 347, 518, 121, 475, 175, 256]","[608, 347, 518, 121, 475, 175, 256]",121,121
HUMAN_HIPPOCAMPUS_K7,VIEW2_ONLY,18b9169a1d2c4b9f4e157c1f5d142ced9a6352ea69f428635ec601d8932f290b,0.005867861963740334,0.012828537653281614,0.008612858523581082,0.20424748383427735,0.012789798134243238,0.012828537653281617,-0.09188098209695776,1.094444148233839,0.04166240285501453,2500,2500,7,"[412, 426, 382, 61, 608, 44, 567]","[412, 426, 382, 61, 608, 44, 567]",44,44
HUMAN_HIPPOCAMPUS_K7,LOGISTIC_DIRECT,f683e74b2f9f121fa123fe7a436c73817f7b860370a375c7585422ae87303fed,0.42652930369615205,0.421562878710465,0.41905232617359117,0.5544873911084645,0.4111291929263257,0.421562878710465,0.7679926468530212,0.2290815514258378,0.8170685900618604,2500,2500,7,"[486, 201, 983, 351, 60, 118, 301]","[486, 201, 983, 351, 60, 118, 301]",60,60
HUMAN_HIPPOCAMPUS_K7,MLP_NO_CONFIDENCE_ABSTENTION,21782af1025b8d5c99d5962ff66d0798b3546a49361c74b9076ac30b3cf8ca32,0.5169393944916404,0.5261253151242915,0.5240787833904856,0.6213718280460397,0.5157895082354336,0.5261253151242914,0.8335146813324581,0.16263486588311163,0.8812597740900715,2500,2500,7,"[869, 600, 342, 330, 66, 199, 94]","[869, 600, 342, 330, 66, 199, 94]",66,66
HUMAN_HIPPOCAMPUS_K7,SHUFFLED_TEACHER_FULL_TRANSFORM,cb604498943c7b6f13afbdd4a37b963274d4213565392220b6cff04dee5e0368,0.4849249238257363,0.48599615395896073,0.4838177995720071,0.5918506202737269,0.48454256923182004,0.4859961539589608,0.8001752955817986,0.1970451372506785,0.837391619423616,2500,2500,7,"[146, 848, 316, 495, 287, 347, 61]","[146, 848, 316, 495, 287, 347, 61]",61,61
HUMAN_HIPPOCAMPUS_K7,FULL_XBED,4d06bd4989b7ec460fb6c5fb21b2eb664b9c1494c5b4ea3d7a5503c831041108,0.46298463086221453,0.4613039141816601,0.45906810603315934,0.5726403555107579,0.4668575502555977,0.4613039141816601,0.7899643051915073,0.208458530615494,0.8322153885440948,2500,2500,7,"[243, 174, 871, 317, 303, 170, 422]","[243, 174, 871, 317, 303, 170, 422]",170,170
