dataset,loss,raw_initial_loss,rms_gradient,seed
a1,L_rna_recon_raw,1.0024998188018799,2.6070167614280158e-05,0
a1,L_mod2_recon_raw,1.1005653142929077,0.0016345303375010988,0
a1,L_corr1_raw,0.1522112637758255,0.0020378274528114544,0
a1,L_corr2_raw,0.21836510300636292,0.0005607258117153233,0
a1,L_rna_recon_raw,1.0018126964569092,1.645515830747991e-05,1
a1,L_mod2_recon_raw,1.1146094799041748,0.0018350134088361792,1
a1,L_corr1_raw,0.12710796296596527,0.0016125346077364767,1
a1,L_corr2_raw,0.2437112182378769,0.0007032873029443861,1
a1,L_rna_recon_raw,1.0022320747375488,2.1561218777012317e-05,2
a1,L_mod2_recon_raw,1.1562365293502808,0.0020183594861836783,2
a1,L_corr1_raw,0.13710615038871765,0.0019525214237462209,2
a1,L_corr2_raw,0.1959286630153656,0.0005544109365809063,2
a1,L_rna_recon_raw,1.0018877983093262,1.8005950703191103e-05,3
a1,L_mod2_recon_raw,1.1016173362731934,0.0017650971913693416,3
a1,L_corr1_raw,0.13617025315761566,0.001657350321655973,3
a1,L_corr2_raw,0.2118832767009735,0.000552268142946511,3
a1,L_rna_recon_raw,1.0019601583480835,2.1132069550781662e-05,4
a1,L_mod2_recon_raw,1.0687754154205322,0.0012781900329838995,4
a1,L_corr1_raw,0.12177393585443497,0.0012289514324907529,4
a1,L_corr2_raw,0.20882032811641693,0.0006234280993543829,4
placenta,L_rna_recon_raw,1.012054443359375,4.689354725294047e-05,0
placenta,L_mod2_recon_raw,1.1983044147491455,0.0009971485938939718,0
placenta,L_corr1_raw,0.8302626609802246,0.0027571464911029103,0
placenta,L_corr2_raw,0.190260648727417,0.00014850419993309041,0
placenta,L_rna_recon_raw,1.0124516487121582,5.122534796292487e-05,1
placenta,L_mod2_recon_raw,1.2202428579330444,0.0013257255553583286,1
placenta,L_corr1_raw,0.8948230147361755,0.0034898452132337897,1
placenta,L_corr2_raw,0.18453539907932281,0.00014232630209018706,1
placenta,L_rna_recon_raw,1.011711835861206,4.4257792219977566e-05,2
placenta,L_mod2_recon_raw,1.2088948488235474,0.0010453652422488249,2
placenta,L_corr1_raw,0.8293831944465637,0.0030975580458434794,2
placenta,L_corr2_raw,0.18961496651172638,0.00015136512967102287,2
placenta,L_rna_recon_raw,1.011638879776001,4.8672015994908215e-05,3
placenta,L_mod2_recon_raw,1.2154961824417114,0.0010997528370597406,3
placenta,L_corr1_raw,0.8429890275001526,0.002891485865646552,3
placenta,L_corr2_raw,0.18707652390003204,0.0001417820125027098,3
placenta,L_rna_recon_raw,1.0118211507797241,4.4248507412532354e-05,4
placenta,L_mod2_recon_raw,1.2216991186141968,0.0009907294407752584,4
placenta,L_corr1_raw,0.8177588582038879,0.0028485780065077054,4
placenta,L_corr2_raw,0.19170412421226501,0.00015276786564312288,4
p22,L_rna_recon_raw,1.0025254487991333,6.772303446498364e-06,0
p22,L_mod2_recon_raw,1.0422428846359253,0.00020789659018431023,0
p22,L_corr1_raw,0.08940019458532333,0.00020484190595489944,0
p22,L_corr2_raw,0.1078769788146019,0.00011295366828381814,0
p22,L_rna_recon_raw,1.0023996829986572,7.344319342463796e-06,1
p22,L_mod2_recon_raw,1.0317693948745728,0.00021234524879575162,1
p22,L_corr1_raw,0.08276732265949249,0.00014736182496819552,1
p22,L_corr2_raw,0.11229388415813446,0.00012167922004272644,1
p22,L_rna_recon_raw,1.0025205612182617,7.264677426328754e-06,2
p22,L_mod2_recon_raw,1.0298055410385132,0.00019185883389316827,2
p22,L_corr1_raw,0.08353601396083832,0.0001673227767671688,2
p22,L_corr2_raw,0.11075493693351746,0.00011898681761917189,2
p22,L_rna_recon_raw,1.0023605823516846,6.2587963710405e-06,3
p22,L_mod2_recon_raw,1.0349129438400269,0.00020037923199887144,3
p22,L_corr1_raw,0.08657749742269516,0.00017840558711857958,3
p22,L_corr2_raw,0.11209534108638763,0.0001185871821734549,3
p22,L_rna_recon_raw,1.0024082660675049,5.861545423753947e-06,4
p22,L_mod2_recon_raw,1.030371069908142,0.00018044057646617734,4
p22,L_corr1_raw,0.08327516913414001,0.00015897444609487855,4
p22,L_corr2_raw,0.11399556696414948,0.0001285246107398697,4
