ami,ari,candidate_id,cluster_sizes_eval,cluster_sizes_full,fmi,gearys_c_macro,homogeneity,k,lane,min_cluster_size_eval,min_cluster_size_full,morans_i_macro,n_eval,n_total,neighbor_agreement,nmi,partition_sha256,v_measure
0.4705432157249941,0.47282406378365505,RAW_EQUAL_UNION,"[291, 429, 165, 313, 184, 828, 290]","[291, 429, 165, 313, 184, 828, 290]",0.5786276688068189,0.21804031973035393,0.4811430987250942,7,HUMAN_HIPPOCAMPUS_K7,165,165,0.7808170191956901,2500,2500,0.8259739951438173,0.47271859449903286,d223e4e10e10c0e4ae3669375d4975ee4b39545e871abb50d0c90582b5e187ce,0.47271859449903286
0.020216382134019016,0.00697439254188921,ARISE_LIKE_INTERSECTION,"[2476, 4, 3, 4, 4, 3, 6]","[2476, 4, 3, 4, 4, 3, 6]",0.45856133473974914,0.6412962362378302,0.01448711833135586,7,HUMAN_HIPPOCAMPUS_K7,3,3,0.3508410082561528,2500,2500,0.9886055918446046,0.027836100063151653,6ac4535f487a6baa9b38b42bfa20147c0144a30f76223b5081db41c6654811e1,0.027836100063151657
0.4017041552938861,0.2624844552349199,SPATIAL_ONLY,"[442, 340, 347, 343, 347, 341, 340]","[442, 340, 347, 343, 347, 341, 340]",0.3948710046097116,0.044637609439511935,0.42767490218580334,7,HUMAN_HIPPOCAMPUS_K7,340,340,0.9551012763593533,2500,2500,0.9609738600584211,0.40406241600882825,6be45218625f083bae0ef448c211247ebf0d86c8837bf0d285db6c0046c535e6,0.4040624160088283
0.028224827180943896,0.007645037497604244,RETAINED_ONLY,"[2283, 81, 44, 40, 28, 10, 14]","[2283, 81, 44, 40, 28, 10, 14]",0.4240682729656223,0.9121889370993372,0.02200512568837148,7,HUMAN_HIPPOCAMPUS_K7,10,10,0.08378802059614324,2500,2500,0.8575606449977411,0.035238035325653116,156150df37d744cfbfe7da8b67d1f08c6171badedcbe31c99768407e9780e80a,0.03523803532565311
0.10835700826467949,0.0790210321847985,VIEW1_ONLY,"[608, 347, 518, 121, 475, 175, 256]","[608, 347, 518, 121, 475, 175, 256]",0.25529736512013745,0.8703009483865385,0.11481352206621998,7,HUMAN_HIPPOCAMPUS_K7,121,121,0.130284190536112,2500,2500,0.25695544873573856,0.11199745958491815,31b33f010be1646539d97ad564115823e7c8aa86fb7178fde16422a5806b609c,0.11199745958491814
0.008612858523581082,0.005867861963740334,VIEW2_ONLY,"[412, 426, 382, 61, 608, 44, 567]","[412, 426, 382, 61, 608, 44, 567]",0.20424748383427735,1.094444148233839,0.012789798134243238,7,HUMAN_HIPPOCAMPUS_K7,44,44,-0.09188098209695776,2500,2500,0.04166240285501453,0.012828537653281614,18b9169a1d2c4b9f4e157c1f5d142ced9a6352ea69f428635ec601d8932f290b,0.012828537653281617
0.41905232617359117,0.42652930369615205,LOGISTIC_DIRECT,"[486, 201, 983, 351, 60, 118, 301]","[486, 201, 983, 351, 60, 118, 301]",0.5544873911084645,0.2290815514258378,0.4111291929263257,7,HUMAN_HIPPOCAMPUS_K7,60,60,0.7679926468530212,2500,2500,0.8170685900618604,0.421562878710465,f683e74b2f9f121fa123fe7a436c73817f7b860370a375c7585422ae87303fed,0.421562878710465
0.5240787833904856,0.5169393944916404,MLP_NO_CONFIDENCE_ABSTENTION,"[869, 600, 342, 330, 66, 199, 94]","[869, 600, 342, 330, 66, 199, 94]",0.6213718280460397,0.16263486588311163,0.5157895082354336,7,HUMAN_HIPPOCAMPUS_K7,66,66,0.8335146813324581,2500,2500,0.8812597740900715,0.5261253151242915,21782af1025b8d5c99d5962ff66d0798b3546a49361c74b9076ac30b3cf8ca32,0.5261253151242914
0.4838177995720071,0.4849249238257363,SHUFFLED_TEACHER_FULL_TRANSFORM,"[146, 848, 316, 495, 287, 347, 61]","[146, 848, 316, 495, 287, 347, 61]",0.5918506202737269,0.1970451372506785,0.48454256923182004,7,HUMAN_HIPPOCAMPUS_K7,61,61,0.8001752955817986,2500,2500,0.837391619423616,0.48599615395896073,cb604498943c7b6f13afbdd4a37b963274d4213565392220b6cff04dee5e0368,0.4859961539589608
0.45906810603315934,0.46298463086221453,FULL_XBED,"[243, 174, 871, 317, 303, 170, 422]","[243, 174, 871, 317, 303, 170, 422]",0.5726403555107579,0.208458530615494,0.4668575502555977,7,HUMAN_HIPPOCAMPUS_K7,170,170,0.7899643051915073,2500,2500,0.8322153885440948,0.4613039141816601,4d06bd4989b7ec460fb6c5fb21b2eb664b9c1494c5b4ea3d7a5503c831041108,0.4613039141816601
0.8161055869950341,0.9001423254397088,RAW_EQUAL_UNION,"[271, 562]","[271, 562]",0.9560701551725969,0.005447922899896616,0.8157172733342614,2,MELANOMA_TUMOR_K2,271,271,0.9471528803313908,833,833,0.9976055916015444,0.8162808888292926,7ba2a6899ee467f57caf3cc3fb80b3ab3e517a7bf2f25b26d49406606c2529a8,0.8162808888292926
-0.0007356131616544389,-0.0012928716342658609,ARISE_LIKE_INTERSECTION,"[398, 435]","[398, 435]",0.5285808613237968,1.010050496695719,0.00018212231144496886,2,MELANOMA_TUMOR_K2,398,398,-0.00861380901756352,833,833,0.4953653312490483,0.0001738040232854874,756082796bacee41533b5abe0a85809be9e327cc5045ca624fadc12e23efe56c,0.00017380402328548737
0.15965631774307526,-0.026575816818370974,SPATIAL_ONLY,"[642, 191]","[642, 191]",0.590681858144851,0.00040717655463977186,0.1486701404745,2,MELANOMA_TUMOR_K2,191,191,1.1136041121243654,833,833,0.9998559169721263,0.16052134306653656,b2c2a72cc797a44ed49b3e678bd32257f51595c199b80525366049bef38ea848,0.16052134306653656
-0.0008982650765131146,0.006272245553663151,RETAINED_ONLY,"[769, 64]","[769, 64]",0.6950119569456933,1.0354210956578132,0.000318387482038605,2,MELANOMA_TUMOR_K2,64,64,0.08155844197356192,833,833,0.8529432408235555,0.00044562708336363916,67dfb9ff99a572e48199e4c725e0e509021deb326a7b9444f82866992d10ca5c,0.00044562708336363916
0.1324467978139577,0.01188335960519052,VIEW1_ONLY,"[249, 584]","[249, 584]",0.5750275431180056,0.8416252268354752,0.13099339525631606,2,MELANOMA_TUMOR_K2,249,249,0.19264600943914278,833,833,0.6468228426404,0.13328784930090554,e874587d805d9f41bb21c304ca136b0454b898ca173d0df49bdd71f13c474ff6,0.13328784930090554
-0.0014541345180692693,0.002689629632773637,VIEW2_ONLY,"[820, 13]","[820, 13]",0.7373148984583426,1.2231048151087354,0.00018742207718545157,2,MELANOMA_TUMOR_K2,13,13,-0.022368366935562625,833,833,0.9623744767260968,0.00033251853779742445,bafc99491bf2396dcd17b8e93a38e507e11ac4eceec964c69c2a783c9d6a987e,0.0003325185377974244
0.8161055869950341,0.9001423254397088,LOGISTIC_DIRECT,"[271, 562]","[271, 562]",0.9560701551725969,0.005447922899896616,0.8157172733342614,2,MELANOMA_TUMOR_K2,271,271,0.9471528803313908,833,833,0.9976055916015444,0.8162808888292926,7ba2a6899ee467f57caf3cc3fb80b3ab3e517a7bf2f25b26d49406606c2529a8,0.8162808888292926
0.8161055869950341,0.9001423254397088,MLP_NO_CONFIDENCE_ABSTENTION,"[271, 562]","[271, 562]",0.9560701551725969,0.005447922899896616,0.8157172733342614,2,MELANOMA_TUMOR_K2,271,271,0.9471528803313908,833,833,0.9976055916015444,0.8162808888292926,7ba2a6899ee467f57caf3cc3fb80b3ab3e517a7bf2f25b26d49406606c2529a8,0.8162808888292926
