path,size_bytes,sha256
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_0.json,118,50ce6068ba2693f1e6db27e7e2ea53d9d829ef5aa0f37f5f9903625643e784ba
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_1.json,118,8e3337ef2213de9fc31937ee9132c1403da622e59beaf2954e9498c93ef756bb
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_2.json,118,b5ad2595a073ec1b3369bff725962b8d8e28a0ff28afc749caded266cb06a41c
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_3.json,118,2fe9c65befb1d9082a3fdca8b7bdefe084a68dfab8f4f34fa9e4e878a30de59c
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_4.json,118,3cfb120461857c8247823580e652078248049e4665e17154542e0c6f83c20a70
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_5.json,118,ce726d4eabfb0d16c2cd116626317f6d90d8b5059ae4138241abebe694bf93fc
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_6.json,118,8367bd68c72dc7fcfcdbccf590bdd0953d0252b6e94ade9596fd8248a9840f4b
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_7.json,118,526de46e730aaaa1d4e79797f12c1e8deb273b8d1e2b623e0d8de90d13968431
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_8.json,118,35f75270561417f950ccf0dcc7b931e5a92a80e8ab4e222ac2de246a05857d1b
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/configs/seed_9.json,118,8d71ece3e326eab32a7d557450e3f5681c238ef3f07d95031dfb177d54cb5aed
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/adapter_unit_manifest.json,2125,e6e011ce253218d54792f502e6c32c801f811bbe8b4af3878523fcc6816bbbbb
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/embedding.npy,499072,012471bc9e4f51524756a77eaef8ee7a364740277fcb2487c15076ae22dc8562
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/fixed_indices.json,1470,a0af8df584692dae3d4f9f6f32934c51ee9cdd46958c80903e752df040ed1180
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/gate_weights.npy,15720,df501a0ceffdc37b9e1a2ccb301022e9d0e48327cb7e84da02c201fc3ef53e2d
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/loss_curve.csv,14459,9abb74b7645ebc4526c58aa3a9e76f02529ba6107dcb3829d75197be816b810c
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/model_final.pt,1483425,4afcfbd2c70d8ec3c0dbbc673c6eb1e8e6bf160424ff8abbc8b89692a30ca092
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/reload_forward_audit.json,368,4f1c48c012bb08f927967adc260f3c55abdf6369dcd0ec09b7c4cfab277d192d
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_0/attempt_001/worker/training_manifest.json,1664,15230f2efbcd05f56afc38bd8754c2602d11f42c8a6c65f3635167d79bac5a54
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/adapter_unit_manifest.json,2123,ca97709cc30937688808f340fed898dbd401ef4a52d789755dbbd58072e7f681
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/embedding.npy,499072,72ca6e37b291ff46b5d5f15751d7c578efdf1705b146e8abc54723eb431e38e1
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/fixed_indices.json,1470,bde9ffc43ffcaccb11bdb313ed4b92fe24f25c3d772a6176fdae22ee076fcf8d
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/gate_weights.npy,15720,df501a0ceffdc37b9e1a2ccb301022e9d0e48327cb7e84da02c201fc3ef53e2d
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/loss_curve.csv,14445,b9891361d68140ce3b6b96046a8bfd7244efaa1d627b73241c3462e8f062a98c
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/model_final.pt,1483425,ff172180b94bbe51a049cdd0f6fd2f6ee24e551e083f1bd3093ebb3f43f27302
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/reload_forward_audit.json,368,750fbf038b1c89bd473564832074d8a86c1d209c9834c2469af78f1bf86c89c2
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_1/attempt_001/worker/training_manifest.json,1662,9ae91e6684d6df031465fe6a5b29e478613a73d9becd49c0afdcf2a6191158a0
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_2/attempt_001/adapter_unit_manifest.json,2125,42b25f49cd58f07a2917186ded3aa7d5292611eac0c87b7637b5e0aa5b762464
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_2/attempt_001/worker/embedding.npy,499072,5341bab8ee8882d69cb4a6203758d7802ad12f5a44655abb67fe22de39f37fb4
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_2/attempt_001/worker/fixed_indices.json,1470,57b4e6fb063e7ed29308bdf0fda6cc162bd9d7e163ac99f71031b514201378f8
/root/autodl-fs/night8b_raw_runs_20260820/formal/adapter/formal/seed_2/attempt_001/worker/gate_weights.npy,15720,df501a0ceffdc37b9e1a2ccb301022e9d0e48327cb7e84da02c201fc3ef53e2d
